image,image_size
alfred:40b,24576
aya:35b,20480
aya:8b,4915
bakllava:7b,4198
codebooga:34b,19456
codegeex4:9b,5632
codegemma:2b,1638
codegemma:7b,5120
codellama:13b,7577
codellama:34b,19456
codellama:70b,39936
codellama:7b,3891
codeqwen:7b,4300
codestral:22b,13312
codeup:13b,7577
command-r-plus:104b,60416
command-r:35b,20480
dbrx:132b,75776
deepseek-coder-v2:16b,9113
deepseek-coder-v2:236b,136192
deepseek-coder:1.3b,776
deepseek-coder:33b,19456
deepseek-coder:6.7b,3891
deepseek-llm:67b,38912
deepseek-llm:7b,4096
deepseek-v2:16b,9113
deepseek-v2:236b,136192
dolphin-llama3:70b,40960
dolphin-llama3:8b,4812
dolphin-mistral:7b,4198
dolphin-mixtral:8x22b,81920
dolphin-mixtral:8x7b,26624
dolphin-phi:2.7b,1638
dolphincoder:15b,9318
dolphincoder:7b,4300
duckdb-nsql:7b,3891
everythinglm:13b,7577
falcon2:11b,6553
falcon:180b,103424
falcon:40b,24576
falcon:7b,4300
firefunction-v2:70b,40960
gemma2:27b,16384
gemma2:2b,1638
gemma2:9b,5529
gemma:2b,1740
gemma:7b,5120
glm4:9b,5632
granite-code:20b,12288
granite-code:34b,19456
granite-code:3b,2048
granite-code:8b,4710
internlm2:7b,4608
llama2-chinese:13b,7577
llama2-chinese:7b,3891
llama2-uncensored:70b,39936
llama2-uncensored:7b,3891
llama2:13b,7577
llama2:70b,39936
llama2:7b,3891
llama3-chatqa:70b,40960
llama3-chatqa:8b,4812
llama3-gradient:70b,40960
llama3-gradient:8b,4812
llama3-groq-tool-use:70b,40960
llama3-groq-tool-use:8b,4812
llama3.1:405b,236544
llama3.1:70b,40960
llama3.1:8b,4812
llama3:70b,40960
llama3:8b,4812
llava-llama3:8b,5017
llava-phi3:3.8b,2355
llava:13b,7577
llava:34b,19456
llava:7b,4198
magicoder:7b,3891
mathstral:7b,4198
meditron:70b,39936
meditron:7b,3891
medllama2:7b,3891
megadolphin:120b,69632
mistral-large:123b,70656
mistral-nemo:12b,7270
mistral-openorca:7b,4198
mistral:7b,4198
mistrallite:7b,4198
mixtral:8x22b,81920
mixtral:8x7b,26624
moondream:1.8b,829
neural-chat:7b,4198
nexusraven:13b,7577
notus:7b,4198
notux:8x7b,26624
nous-hermes2-mixtral:8x7b,26624
nous-hermes2:10.7b,6246
nous-hermes2:34b,19456
nous-hermes:13b,7577
nous-hermes:7b,3891
nuextract:3.8b,2252
open-orca-platypus2:13b,7577
openchat:7b,4198
orca-mini:13b,7577
orca-mini:3b,2048
orca-mini:70b,39936
orca-mini:7b,3891
orca2:13b,7577
orca2:7b,3891
phi3:14b,8089
phi3:3.8b,2252
phi:2.7b,1638
phind-codellama:34b,19456
qwen2:0.5b,352
qwen2:1.5b,935
qwen2:72b,41984
qwen2:7b,4505
qwen:0.5b,395
qwen:1.8b,1126
qwen:110b,64512
qwen:14b,8396
qwen:32b,18432
qwen:4b,2355
qwen:72b,41984
qwen:7b,4608
samantha-mistral:7b,4198
solar:10.7b,6246
sqlcoder:15b,9216
sqlcoder:7b,4198
stable-beluga:13b,7577
stable-beluga:70b,39936
stable-beluga:7b,3891
stable-code:3b,1638
stablelm-zephyr:3b,1638
stablelm2:1.6b,983
stablelm2:12b,7168
starcoder2:15b,9318
starcoder2:3b,1740
starcoder2:7b,4096
starcoder:15b,9216
starcoder:1b,726
starcoder:3b,1843
starcoder:7b,4403
starling-lm:7b,4198
tinydolphin:1.1b,637
tinyllama:1.1b,638
vicuna:13b,7577
vicuna:33b,18432
vicuna:7b,3891
wizard-math:13b,7577
wizard-math:70b,39936
wizard-math:7b,4198
wizard-vicuna-uncensored:13b,7577
wizard-vicuna-uncensored:30b,18432
wizard-vicuna-uncensored:7b,3891
wizard-vicuna:13b,7577
wizardcoder:33b,19456
wizardlm-uncensored:13b,7577
wizardlm2:7b,4198
wizardlm2:8x22b,81920
xwinlm:13b,7577
xwinlm:7b,3891
yarn-llama2:13b,7577
yarn-llama2:7b,3891
yarn-mistral:7b,4198
yi:34b,19456
yi:6b,3584
yi:9b,5120
zephyr:141b,81920
zephyr:7b,4198
